id,establishments,%chg_lq_estabishments
1460,254,24.46
1461,2672,7.04
1462,2908,4.77
1463,3728,6.51
1464,378,18.62
1465,640,13.8
1466,4988,5.72
1467,1642,12.29
1468,1630,7.78
1469,3030,8.88
1470,6938,3.74
1471,1104,8.64
1472,918,12.56
1473,1260,10.89
1474,446,15.26
1475,1088,11.97
1476,696,17.01
1477,444,17.66
1478,1942,8.08
1479,1242,11.09
1480,1684,8.62
1481,338,17.73
1482,2010,10.25
1483,1050,9.77
1484,1048,10.17
1485,264,26.91
1486,8112,4.82
1487,1026,11.75
1488,300,20.56
1489,898,12.91
1490,376,19.34
1491,606,12.88
1492,1074,12.55
1493,426,22.23
1494,770,13.73
1495,758,11.61
1496,822,12.42
1497,522,12.23
1498,1042,9.83
1499,436,13.1
1500,2196,7.64
1501,2442,8.78
1502,780,10.39
1503,350,23.67
1504,274,20.8
1505,692,12
1506,372,19.05
1507,890,13.68
1508,20774,2.95
1509,1350,12.62
1510,896,12.41
1511,468,13.9
1512,1260,13
1513,1874,10.01
1514,668,13.63
1515,916,15.07
1516,1096,9.49
1517,532,15.2
1518,10012,4.79
1519,4888,6.64
1520,3146,7.65
1521,458,24.48
1522,1734,12.04
1523,3308,5.34
1524,5688,6.19
1525,624,21.18
1526,468,13
1527,4554,7.41
1528,718,13.69
1529,566,16.26
1530,4110,5.31
1531,354,23.57
1532,11928,5.3
1533,902,13.85
1534,4838,9.57
1535,950,13.96
1536,1334,8.67
1537,360,19.32
1538,758,10.26
1539,492,20.92
1540,512,19.88
1541,1174,8.93
1542,464,13.6
1543,3078,7.7
1544,6066,6.56
1545,972,11.57
1546,454,18.1
1547,18984,4.52
1548,578,21.16
1549,588,22.91
1550,1354,11.03
1551,382,20.06
1552,362,21.03
1553,448,20.15
1554,2672,8.59
1555,1100,7.36
1556,46106,4.09
1557,6836,6.25
1558,8934,5.69
1559,2288,11.7
